Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
6,dc_sweep,gm_nmos_svt,0,,,
6,dc_sweep,gmb_nmos_svt,0,,,
6,dc_sweep,gds_nmos_svt,499e-12,,,
6,dc_sweep,id_nmos_svt,91.15e-18,,,
6,dc_sweep,sth_nmos_svt,9.712e-30,,,
6,dc_sweep,sfl_nmos_svt,0,,,
6,dc_sweep,cgg_pmos_svt,89.81e-15,,,
6,dc_sweep,cdd_pmos_svt,6.671e-15,,,
6,dc_sweep,css_pmos_svt,6.468e-15,,,
6,dc_sweep,gm_pmos_svt,0,,,
6,dc_sweep,gmb_pmos_svt,0,,,
6,dc_sweep,gds_pmos_svt,21.46e-12,,,
6,dc_sweep,id_pmos_svt,-156.9e-18,,,
6,dc_sweep,sth_pmos_svt,544.4e-33,,,
6,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=0, length=2u, sb=0",,,,,,
7,dc_sweep,cgg_nmos_svt,98.78e-15,,,
7,dc_sweep,cdd_nmos_svt,3.613e-15,,,
7,dc_sweep,css_nmos_svt,3.652e-15,,,
7,dc_sweep,gm_nmos_svt,0,,,
7,dc_sweep,gmb_nmos_svt,0,,,
7,dc_sweep,gds_nmos_svt,3.738e-9,,,
7,dc_sweep,id_nmos_svt,-0,,,
7,dc_sweep,sth_nmos_svt,73.33e-30,,,
7,dc_sweep,sfl_nmos_svt,0,,,
7,dc_sweep,cgg_pmos_svt,150.5e-15,,,
7,dc_sweep,cdd_pmos_svt,5.799e-15,,,
7,dc_sweep,css_pmos_svt,4.953e-15,,,
7,dc_sweep,gm_pmos_svt,0,,,
7,dc_sweep,gmb_pmos_svt,0,,,
7,dc_sweep,gds_pmos_svt,161.5e-12,,,
7,dc_sweep,id_pmos_svt,-0,,,
7,dc_sweep,sth_pmos_svt,4.154e-30,,,
7,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=0, length=2u, sb=250m",,,,,,
8,dc_sweep,cgg_nmos_svt,84.06e-15,,,
8,dc_sweep,cdd_nmos_svt,3.669e-15,,,
8,dc_sweep,css_nmos_svt,3.687e-15,,,
8,dc_sweep,gm_nmos_svt,0,,,
8,dc_sweep,gmb_nmos_svt,0,,,
8,dc_sweep,gds_nmos_svt,1.228e-9,,,
8,dc_sweep,id_nmos_svt,91.14e-18,,,
8,dc_sweep,sth_nmos_svt,23.98e-30,,,
8,dc_sweep,sfl_nmos_svt,0,,,
8,dc_sweep,cgg_pmos_svt,128.9e-15,,,
8,dc_sweep,cdd_pmos_svt,6.266e-15,,,
8,dc_sweep,css_pmos_svt,5.772e-15,,,
8,dc_sweep,gm_pmos_svt,0,,,
8,dc_sweep,gmb_pmos_svt,0,,,
8,dc_sweep,gds_pmos_svt,53.92e-12,,,
8,dc_sweep,id_pmos_svt,-156.9e-18,,,
8,dc_sweep,sth_pmos_svt,1.377e-30,,,
8,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=0, length=2u, sb=500m",,,,,,
9,dc_sweep,cgg_nmos_svt,74.66e-15,,,
9,dc_sweep,cdd_nmos_svt,3.693e-15,,,
9,dc_sweep,css_nmos_svt,3.703e-15,,,
9,dc_sweep,gm_nmos_svt,0,,,
9,dc_sweep,gmb_nmos_svt,0,,,
9,dc_sweep,gds_nmos_svt,467.8e-12,,,
9,dc_sweep,id_nmos_svt,91.15e-18,,,
9,dc_sweep,sth_nmos_svt,9.103e-30,,,
9,dc_sweep,sfl_nmos_svt,0,,,
9,dc_sweep,cgg_pmos_svt,115e-15,,,
9,dc_sweep,cdd_pmos_svt,6.522e-15,,,
9,dc_sweep,css_pmos_svt,6.214e-15,,,
9,dc_sweep,gm_pmos_svt,0,,,
9,dc_sweep,gmb_pmos_svt,0,,,
9,dc_sweep,gds_pmos_svt,20.68e-12,,,
9,dc_sweep,id_pmos_svt,-156.9e-18,,,
9,dc_sweep,sth_pmos_svt,524.7e-33,,,
9,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1u, sb=0",,,,,,
10,dc_sweep,cgg_nmos_svt,69.72e-15,,,
10,dc_sweep,cdd_nmos_svt,41.61e-15,,,
10,dc_sweep,css_nmos_svt,38.03e-15,,,
10,dc_sweep,gm_nmos_svt,0,,,
10,dc_sweep,gmb_nmos_svt,0,,,
10,dc_sweep,gds_nmos_svt,28.68e-6,,,
10,dc_sweep,id_nmos_svt,-59.82e-18,,,
10,dc_sweep,sth_nmos_svt,558.3e-27,,,
10,dc_sweep,sfl_nmos_svt,0,,,
10,dc_sweep,cgg_pmos_svt,142.7e-15,,,
10,dc_sweep,cdd_pmos_svt,96.75e-15,,,
10,dc_sweep,css_pmos_svt,116.6e-15,,,
10,dc_sweep,gm_pmos_svt,0,,,
10,dc_sweep,gmb_pmos_svt,0,,,
10,dc_sweep,gds_pmos_svt,3.849e-6,,,
10,dc_sweep,id_pmos_svt,63.45e-12,,,
10,dc_sweep,sth_pmos_svt,98.47e-27,,,
10,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1u, sb=250m",,,,,,
11,dc_sweep,cgg_nmos_svt,49.03e-15,,,
11,dc_sweep,cdd_nmos_svt,17.2e-15,,,
